name,lat,lng,type,region,base_lake
Pattazhy Devi temple pond,9.0777382,76.7954055,Water,India_Kerala,Sasthamkotta Lake
Vasudevancode Chira,9.0193541,76.8094612,Water,India_Kerala,Sasthamkotta Lake
Vettikkavala Temple Pond,8.9993217,76.8264056,Water,India_Kerala,Sasthamkotta Lake
Nedum Chira,9.0258218,76.8233138,Water,India_Kerala,Sasthamkotta Lake
"Chirakkarott Chira Public Pond, Ezhamkulam",9.149758,76.7728477,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0882544,76.787166,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0886215,76.8014608,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0831956,76.8124438,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0786706,76.8226765,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.075774,76.8341123,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.073613,76.8445836,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0757192,76.8525181,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0789398,76.8576398,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0799654,76.8620372,Water,India_Kerala,Sasthamkotta Lake
kallada river,9.0578915,76.8706691,Water,India_Kerala,Sasthamkotta Lake
Trombay Creek,19.0531029,72.9295179,Water,India_Maharashtra,Powai Lake
Mithi River,19.1970202,72.8293262,Water,India_Maharashtra,Powai Lake
water 2,19.0922857,72.8316329,Water,India_Maharashtra,Powai Lake
Divan Shah Talao,19.2947642,73.0469269,Water,India_Maharashtra,Powai Lake
Kariwali Talav,19.2937766,73.035763,Reservoir,India_Maharashtra,Powai Lake
Kacharali Lake,19.1962556,72.9680675,Lake,India_Maharashtra,Powai Lake
Makhamali Talaav,19.1984698,72.9713682,Lake,India_Maharashtra,Powai Lake
Jail Lake,19.1997458,72.9805231,Lake,India_Maharashtra,Powai Lake
Upvan Lake,19.2214306,72.9560817,Lake,India_Maharashtra,Powai Lake
Banganga Tank,18.9454866,72.7936879,Reservoir,India_Maharashtra,Powai Lake
Vakola Nala,19.0737711,72.8499381,Water,India_Maharashtra,Powai Lake
Vakola Nala,19.0827343,72.8485805,Water,India_Maharashtra,Powai Lake
Malad Creek,19.165769,72.8098933,Water,India_Maharashtra,Powai Lake
Pargaon Talaab,18.9816125,73.0746831,Water,India_Maharashtra,Powai Lake
Panvel Creek,19.006541,73.0379342,Water,India_Maharashtra,Powai Lake
Diversion Canal,19.0341422,73.0984002,Water,India_Maharashtra,Powai Lake
Mogara Nallah,19.1424135,72.8277216,Water,India_Maharashtra,Powai Lake
Chota Kashmir Lake,19.1615182,72.8715814,Water,India_Maharashtra,Powai Lake
Bandra Talao,19.0566971,72.8377523,Reservoir,India_Maharashtra,Powai Lake
Bhujawale Lake,19.1817118,72.8378092,Water,India_Maharashtra,Powai Lake
Eksar Talao,19.2377638,72.8449925,Water,India_Maharashtra,Powai Lake
Aerated Lagoons,19.0770506,72.9309169,Water,India_Maharashtra,Powai Lake
Aerated Lagoons,19.0793401,72.9332323,Water,India_Maharashtra,Powai Lake
Aerated Lagoons,19.0781846,72.9320508,Water,India_Maharashtra,Powai Lake
Aerated Lagoons,19.0804876,72.9343898,Water,India_Maharashtra,Powai Lake
Ganapati Visarjan Pond,19.2073761,73.1076344,Water,India_Maharashtra,Powai Lake
Rayladevi Lake,19.1894237,72.9571071,Lake,India_Maharashtra,Powai Lake
Hariyali Talao,19.1857913,72.9776004,Lake,India_Maharashtra,Powai Lake
Irla Nala,19.1158052,72.8273631,Water,India_Maharashtra,Powai Lake
Irla Nala,19.1111934,72.8331558,Water,India_Maharashtra,Powai Lake
Irla Nala,19.1105152,72.8399731,Water,India_Maharashtra,Powai Lake
Ambe Ghosale Lake,19.2050786,72.9794403,Lake,India_Maharashtra,Powai Lake
Talao Pali,19.1655545,73.0288521,Water,India_Maharashtra,Powai Lake
Bonkode Pond,19.0956168,73.0145292,Water,India_Maharashtra,Powai Lake
NITIE Pond,19.1377894,72.9018423,Water,India_Maharashtra,Powai Lake
Siddheshwar Lake,19.2012785,72.9684395,Lake,India_Maharashtra,Powai Lake
Dewool Talav,19.1225689,72.8747769,Water,India_Maharashtra,Powai Lake
Mini Sea Shore,19.0815656,72.9927805,Lake,India_Maharashtra,Powai Lake
Sion Talav,19.0474537,72.8659775,Water,India_Maharashtra,Powai Lake
Gaondevi Lotus Talav,19.1955703,72.8131853,Water,India_Maharashtra,Powai Lake
Kopra Lake,19.0388539,73.0776943,Water,India_Maharashtra,Powai Lake
Koparkhairne Holding Pond,19.1086871,72.9966673,Water,India_Maharashtra,Powai Lake
Goddess Temple Pond,19.1125345,72.8251247,Reservoir,India_Maharashtra,Powai Lake
Anushaktinagar Lake,19.0375913,72.9177213,Lake,India_Maharashtra,Powai Lake
"Ganesh Visarjan Talao,Thakurli",19.2196524,73.1017601,Lake,India_Maharashtra,Powai Lake
tank,19.0268837,72.8681069,Water,India_Maharashtra,Powai Lake
tank,19.0281512,72.8683259,Water,India_Maharashtra,Powai Lake
Shivaji Talao,19.1473381,72.9299792,Lake,India_Maharashtra,Powai Lake
Ganesh Visarjan Lake,19.1633667,72.9635632,Water,India_Maharashtra,Powai Lake
Ganesh Visarjan Lake,19.1610144,72.954985,Water,India_Maharashtra,Powai Lake
talav,19.1872885,73.0407994,Water,India_Maharashtra,Powai Lake
Teen Talav,19.0507775,72.8928418,Water,India_Maharashtra,Powai Lake
Ganesh Talav,19.0558799,72.9060885,Lake,India_Maharashtra,Powai Lake
Lake Homes pond,19.1165387,72.8964749,Reservoir,India_Maharashtra,Powai Lake
Lake Homes Artificial Lake,19.1165944,72.8999862,Water,India_Maharashtra,Powai Lake
Lokmanya Tilak Ganesh Visarjan Talao,19.1381915,72.8631927,Water,India_Maharashtra,Powai Lake
Bramhala Lake,19.2026921,72.9752386,Lake,India_Maharashtra,Powai Lake
Kasarvadavli Lake,19.2714529,72.9702965,Lake,India_Maharashtra,Powai Lake
DAKC Pond,19.1093689,73.0125637,Water,India_Maharashtra,Powai Lake
Chincholi Pond,19.0465708,73.018311,Water,India_Maharashtra,Powai Lake
Khandeshwar lake,19.0106081,73.1086658,Lake,India_Maharashtra,Powai Lake
Rao Talav,19.3010602,72.8499161,Water,India_Maharashtra,Powai Lake
Seawoods Estates Club Swimming Pool,19.0032691,73.0145421,Water,India_Maharashtra,Powai Lake
Seawoods Estates Lawn 3 Water Fountain,19.0033406,73.0165693,Water,India_Maharashtra,Powai Lake
Lawn 1 - Semi Circle Water Fountain,19.0054545,73.0164961,Water,India_Maharashtra,Powai Lake
Agroli Lake,19.0220396,73.0376052,Lake,India_Maharashtra,Powai Lake
Phase 2 Swimming Pool,19.0055823,73.0149421,Water,India_Maharashtra,Powai Lake
Swayambhu Ganpati Mandir Pond,19.228757,72.8422855,Water,India_Maharashtra,Powai Lake
Kamothe Lake,19.0167219,73.0935483,Water,India_Maharashtra,Powai Lake
"Seawoods Lake, Jeweles",19.0265675,73.0094686,Lake,India_Maharashtra,Powai Lake
Khidkali Lake,19.1560429,73.0647256,Lake,India_Maharashtra,Powai Lake
Khidkali Lake,19.1554774,73.0646924,Lake,India_Maharashtra,Powai Lake
Nilaje Lake,19.1661086,73.0807408,Lake,India_Maharashtra,Powai Lake
NMMC Holding Pond,19.0128457,73.0267533,Lake,India_Maharashtra,Powai Lake
Karave Pond,19.0199524,73.0121435,Water,India_Maharashtra,Powai Lake
Lotus Lake,19.1773387,72.9655118,Lake,India_Maharashtra,Powai Lake
DPS Lake,19.0054358,73.0202009,Lake,India_Maharashtra,Powai Lake
Belapur Pond,19.0137233,73.0319962,Water,India_Maharashtra,Powai Lake
Nerul Pond,19.0335772,73.0117961,Water,India_Maharashtra,Powai Lake
Darave Pond,19.0254572,73.0198999,Water,India_Maharashtra,Powai Lake
Lonar Lake,19.9765199,76.5080112,Lake,India_Maharashtra,Lonar Lake
Yeldari Lake,19.7682338,76.6780472,Water,India_Maharashtra,Lonar Lake
Ghatghar Dam,19.5457689,73.6545416,Water,India_Maharashtra,Bhandardara Lake
Pimpalgaon Joga Reservoir,19.3299596,73.8454832,Reservoir,India_Maharashtra,Bhandardara Lake
Lake Belae,19.759245,73.703944,Water,India_Maharashtra,Bhandardara Lake
Backwater Wilson Dam,19.5304856,73.7234169,Reservoir,India_Maharashtra,Bhandardara Lake
Nakki Lake,24.5952956,72.704227,Water,India_Rajasthan,Nakki Lake
Lower Kodra Lake,24.5730118,72.7195813,Reservoir,India_Rajasthan,Nakki Lake
Delwara Pond,24.6068739,72.7284541,Water,India_Rajasthan,Nakki Lake
Mini Nakki Lake,24.6276058,72.7411826,Lake,India_Rajasthan,Nakki Lake
Trevor's Tank,24.6201639,72.7251722,Water,India_Rajasthan,Nakki Lake
Upper Kodra Lake,24.5764217,72.7047743,Water,India_Rajasthan,Nakki Lake
Sant Sarovar,24.6061912,72.718299,Lake,India_Rajasthan,Nakki Lake
Ram Tal,29.3497489,79.5328431,Lake,India_Uttarakhand,Nainital Lake
Pruna Tal,29.3530968,79.5245218,Lake,India_Uttarakhand,Nainital Lake
Seeta Tal,29.3508649,79.5296288,Lake,India_Uttarakhand,Nainital Lake
Naukuchhiatal,29.3226492,79.5856349,Lake,India_Uttarakhand,Nainital Lake
Garur Taal,29.3567879,79.5309371,Lake,India_Uttarakhand,Nainital Lake
Naini Lake,29.385561,79.4592271,Lake,India_Uttarakhand,Nainital Lake
Kurpa Tal,29.3725068,79.4282888,Lake,India_Uttarakhand,Nainital Lake
Bhimtal Lake,29.3435191,79.5588846,Reservoir,India_Uttarakhand,Nainital Lake
Ashtabula River,41.8965519,-80.7973597,Water,USA_Great_Lakes,Lake Erie
Red Brook,41.8842725,-80.8533202,Water,USA_Great_Lakes,Lake Erie
Ashtabula River,41.8801596,-80.7915353,Water,USA_Great_Lakes,Lake Erie
Lake Erie,42.143262,-81.1625991,Lake,USA_Great_Lakes,Lake Erie
Ashtabula River,41.8644934,-80.7768375,Water,USA_Great_Lakes,Lake Erie
Sand Canyon,36.94075,-111.138985,Water,USA_Utah,Lake Powell
Sand Canyon,36.930273,-111.1306265,Water,USA_Utah,Lake Powell
Sand Canyon,36.970692,-111.1623915,Water,USA_Utah,Lake Powell
Sand Canyon,36.924749,-111.124947,Water,USA_Utah,Lake Powell
Lake Powell,37.3768949,-110.9270969,Reservoir,USA_Utah,Lake Powell
Lake Mead,36.2130613,-114.4691476,Reservoir,USA_Nevada,Lake Mead
Great Salt Lake,41.1763744,-112.4553035,Lake,USA_Utah,Great Salt Lake
Turbid Lake,44.549004,-110.2598256,Water,USA_Wyoming,Yellowstone Lake
Dryad Lake,44.5457532,-110.5112468,Lake,USA_Wyoming,Yellowstone Lake
Riddle Lake,44.355431,-110.5501804,Lake,USA_Wyoming,Yellowstone Lake
Trail Lake,44.2782325,-110.1742117,Water,USA_Wyoming,Yellowstone Lake
Alder Lake,44.3367075,-110.31181,Water,USA_Wyoming,Yellowstone Lake
Indian Pond,44.5578785,-110.3250442,Water,USA_Wyoming,Yellowstone Lake
Eleanor Lake,44.4698278,-110.1404071,Lake,USA_Wyoming,Yellowstone Lake
Heart Lake,44.2675445,-110.4766573,Lake,USA_Wyoming,Yellowstone Lake
Duck Lake,44.4207701,-110.5804472,Lake,USA_Wyoming,Yellowstone Lake
Sheridan Lake,44.2420622,-110.5059466,Water,USA_Wyoming,Yellowstone Lake
Aster Lake,44.3010831,-110.5587709,Lake,USA_Wyoming,Yellowstone Lake
Outlet Lake,44.2714182,-110.3928092,Lake,USA_Wyoming,Yellowstone Lake
Stonecup Lake,44.5490971,-110.1478583,Lake,USA_Wyoming,Yellowstone Lake
Delusion Lake,44.4000637,-110.459321,Water,USA_Wyoming,Yellowstone Lake
Yellowstone Lake,44.4203463,-110.3912232,Lake,USA_Wyoming,Yellowstone Lake
Sylvan Lake,44.4795632,-110.1607503,Lake,USA_Wyoming,Yellowstone Lake
Yellowstone River,44.2506449,-110.156613,Water,USA_Wyoming,Yellowstone Lake
Round Pond,43.3526144,-73.6762619,Water,USA_New_York,Lake George
Lake Sunnyside,43.3754538,-73.6399009,Water,USA_New_York,Lake George
Bloody Pond,43.3903746,-73.7034786,Water,USA_New_York,Lake George
Lake Nebo,43.4678549,-73.5553615,Water,USA_New_York,Lake George
Sly Pond,43.4549731,-73.5903646,Water,USA_New_York,Lake George
Lake Pond,43.4822872,-73.5541693,Water,USA_New_York,Lake George
Three Ponds,43.4633546,-73.6022571,Water,USA_New_York,Lake George
Thurber Pond,43.506069,-73.5779884,Water,USA_New_York,Lake George
Inman Pond,43.493144,-73.5861982,Water,USA_New_York,Lake George
O'Keefe Pond,43.3228832,-73.8658678,Water,USA_New_York,Lake George
Second Lake,43.3462607,-73.8298672,Water,USA_New_York,Lake George
Third Lake,43.3515992,-73.8308906,Water,USA_New_York,Lake George
Fourth Lake,43.357982,-73.8251411,Water,USA_New_York,Lake George
Bullhead Pond,43.3262713,-73.812965,Water,USA_New_York,Lake George
Hidden Lake,43.3837886,-73.7626145,Water,USA_New_York,Lake George
Butler Pond,43.3713284,-73.7359413,Water,USA_New_York,Lake George
Butler Storage Reservoir,43.35028,-73.7273799,Reservoir,USA_New_York,Lake George
Wilkie Reservoir,43.3548355,-73.7572968,Reservoir,USA_New_York,Lake George
Rush Pond,43.3500778,-73.7025542,Water,USA_New_York,Lake George
Echo Lake,43.494895,-73.7939353,Lake,USA_New_York,Lake George
Mud Pond,43.2427469,-73.7102102,Water,USA_New_York,Lake George
Moreau Lake,43.2371217,-73.7117329,Water,USA_New_York,Lake George
Moreau Lake,43.2313248,-73.710712,Lake,USA_New_York,Lake George
Halfway Brook Reservoir,43.3160314,-73.6864839,Reservoir,USA_New_York,Lake George
Hovey Pond,43.3300659,-73.6629061,Water,USA_New_York,Lake George
Copeland Pond,43.4326529,-73.5597582,Water,USA_New_York,Lake George
Keenan Reservoir,43.3306908,-73.7562668,Reservoir,USA_New_York,Lake George
Lake Forest,43.3661523,-73.7903212,Water,USA_New_York,Lake George
Lake Vanare,43.371583,-73.789221,Water,USA_New_York,Lake George
Stewart Lake,43.3968067,-73.8052999,Water,USA_New_York,Lake George
Pack Forest Lake,43.5576098,-73.812657,Water,USA_New_York,Lake George
Lake Ann,43.2124265,-73.7516301,Water,USA_New_York,Lake George
Bacon Pond,43.4009968,-73.5984244,Water,USA_New_York,Lake George
Bear Pond,43.3944698,-73.675177,Water,USA_New_York,Lake George
Bear Pond,43.4944196,-73.915912,Water,USA_New_York,Lake George
Bell Brook Pond,43.3438723,-73.9371048,Reservoir,USA_New_York,Lake George
Black Pond,43.1827311,-73.7790974,Water,USA_New_York,Lake George
Crandall Pond,43.3194674,-73.6605688,Water,USA_New_York,Lake George
Glens Falls Feeder Canal,43.3074205,-73.6393566,Water,USA_New_York,Lake George
Glens Falls Feeder Canal,43.3082459,-73.5825313,Water,USA_New_York,Lake George
Glens Falls Feeder Canal,43.3060466,-73.5806705,Water,USA_New_York,Lake George
Lock #12,43.3001248,-73.5719902,Water,USA_New_York,Lake George
Millman Pond,43.5876346,-73.5284045,Water,USA_New_York,Lake George
Fishbrook Pond,43.576184,-73.5374344,Water,USA_New_York,Lake George
Lake Bonita,43.2083407,-73.7654685,Reservoir,USA_New_York,Lake George
Stevenson's Pond,43.5138573,-73.6289387,Water,USA_New_York,Lake George
Bumps Pond,43.5621004,-73.5496462,Water,USA_New_York,Lake George
Pagies Pond,43.5133444,-73.5525961,Water,USA_New_York,Lake George
Spectacle Ponds,43.5538937,-73.5360915,Water,USA_New_York,Lake George
Clear Pond,43.5226125,-73.449695,Water,USA_New_York,Lake George
Coon Pond,43.5012201,-73.8532809,Water,USA_New_York,Lake George
Daggett Pond,43.538005,-73.8444694,Water,USA_New_York,Lake George
Dippikill Pond,43.5660163,-73.8761626,Water,USA_New_York,Lake George
Dolph Pond,43.4810008,-73.4516417,Water,USA_New_York,Lake George
Dream Lake,43.3806781,-73.6400391,Water,USA_New_York,Lake George
Viele Pond,43.4272278,-73.7944998,Water,USA_New_York,Lake George
Efner Lake,43.2663101,-73.928523,Lake,USA_New_York,Lake George
Hunt Lake,43.2601933,-73.9059324,Lake,USA_New_York,Lake George
Jenny Lake,43.266962,-73.9123431,Lake,USA_New_York,Lake George
Champlain Canal,43.2906426,-73.5497556,Water,USA_New_York,Lake George
Champlain Canal,43.2995915,-73.5425493,Water,USA_New_York,Lake George
Champlain Canal,43.3063355,-73.53754,Water,USA_New_York,Lake George
Champlain Canal,43.3121498,-73.5331412,Water,USA_New_York,Lake George
Forest Lake,43.5642463,-73.7702681,Water,USA_New_York,Lake George
Gay Pond,43.41657,-73.8238973,Water,USA_New_York,Lake George
Greenland Pond,43.5775725,-73.517746,Water,USA_New_York,Lake George
Kellum Pond,43.556286,-73.7790199,Water,USA_New_York,Lake George
Mud Pond,43.5490772,-73.7691979,Water,USA_New_York,Lake George
Little Pond,43.5231344,-73.9626468,Water,USA_New_York,Lake George
Mud Pond,43.555275,-73.4899484,Water,USA_New_York,Lake George
Number Nine Pond,43.4949637,-73.8815307,Water,USA_New_York,Lake George
Penny Pond,43.5755714,-73.7743173,Water,USA_New_York,Lake George
Bullhead Pond,43.2349296,-73.848789,Water,USA_New_York,Lake George
Pickerel Pond,43.233019,-73.8478195,Water,USA_New_York,Lake George
Poker Pond,43.5249006,-73.7641514,Water,USA_New_York,Lake George
Sawmill Pond,43.508677,-73.4447184,Water,USA_New_York,Lake George
Wilkie Intake Reservoir,43.3414198,-73.7292051,Reservoir,USA_New_York,Lake George
Spectacle Pond,43.5126877,-73.4650284,Water,USA_New_York,Lake George
Tripp Pond,43.5974721,-73.795124,Water,USA_New_York,Lake George
Upper Reservoir,43.2505539,-73.8669503,Reservoir,USA_New_York,Lake George
Waneta Lake,42.4449842,-77.1003754,Lake,USA_New_York,Finger Lakes Seneca
Spencer Pond,42.4010952,-77.0084488,Water,USA_New_York,Finger Lakes Seneca
Ballard Pond,42.5282468,-76.7876718,Water,USA_New_York,Finger Lakes Seneca
South Burnt Hill Pond,42.4532546,-76.8072371,Water,USA_New_York,Finger Lakes Seneca
Foster Pond,42.499227,-76.7938328,Water,USA_New_York,Finger Lakes Seneca
Teeter Pond,42.539981,-76.799688,Water,USA_New_York,Finger Lakes Seneca
Leadership Pond,42.634615,-77.0717807,Water,USA_New_York,Finger Lakes Seneca
Cayuga Lake,42.6992151,-76.634912,Lake,USA_New_York,Finger Lakes Seneca
Seneca Lake,42.6281295,-76.9183025,Lake,USA_New_York,Finger Lakes Seneca
Potomac Ponds,42.4955279,-76.7870415,Water,USA_New_York,Finger Lakes Seneca
Gorge Ponds,42.4564516,-76.8044678,Water,USA_New_York,Finger Lakes Seneca
Keuka Lake,42.5280422,-77.1407024,Lake,USA_New_York,Finger Lakes Seneca
North Pond,42.8452019,-76.6927673,Water,USA_New_York,Finger Lakes Cayuga
Finger Lakes,42.808833,-76.9979645,Lake,USA_New_York,Finger Lakes Cayuga
Van Cleef Lake,42.9122152,-76.7913547,Water,USA_New_York,Finger Lakes Cayuga
Lock Number 3,42.9145407,-76.7872478,Water,USA_New_York,Finger Lakes Cayuga
Lock Number 2,42.9147713,-76.786032,Water,USA_New_York,Finger Lakes Cayuga
Owasco Lake,42.8286226,-76.5052395,Lake,USA_New_York,Finger Lakes Cayuga
Mud Pond,44.4146783,-73.0782789,Water,USA_Vermont,Lake Champlain
Lower Pond,44.3505346,-73.0862383,Reservoir,USA_Vermont,Lake Champlain
Arrowhead Mountain Lake,44.6642575,-73.1056785,Reservoir,USA_Vermont,Lake Champlain
Richmond Pond,44.418267,-72.946336,Water,USA_Vermont,Lake Champlain
Preston Pond,44.423215,-72.9087998,Water,USA_Vermont,Lake Champlain
Indian Brook Reservoir,44.5355936,-73.0986204,Reservoir,USA_Vermont,Lake Champlain
Gillett Pond,44.354335,-72.963319,Water,USA_Vermont,Lake Champlain
Round Pond,44.6654941,-73.178523,Water,USA_Vermont,Lake Champlain
Long Pond,44.6745045,-73.1921341,Water,USA_Vermont,Lake Champlain
Augur Lake,44.4608803,-73.5014521,Lake,USA_Vermont,Lake Champlain
Babbe Pond,44.4137473,-73.4523272,Water,USA_Vermont,Lake Champlain
Highlands Forge Lake,44.409885,-73.4440096,Lake,USA_Vermont,Lake Champlain
Butternut Pond,44.4296466,-73.4978868,Water,USA_Vermont,Lake Champlain
Burr Pond,44.3768551,-73.2294308,Water,USA_Vermont,Lake Champlain
Hadley Pond,44.4303862,-73.4399764,Water,USA_Vermont,Lake Champlain
Keenan Pond,44.4317271,-73.4720926,Water,USA_Vermont,Lake Champlain
Long Pond,44.3866378,-73.4533093,Water,USA_Vermont,Lake Champlain
Mud Pond,44.4489809,-73.503177,Water,USA_Vermont,Lake Champlain
Beaver Pond,44.3816948,-73.0599568,Water,USA_Vermont,Lake Champlain
Fishing Pond,44.5162007,-72.9442167,Water,USA_Vermont,Lake Champlain
Underhill Pond,44.5088636,-72.8935703,Water,USA_Vermont,Lake Champlain
Winooski Upper Reservoir,44.4987046,-73.1711267,Reservoir,USA_Vermont,Lake Champlain
Beaver Pond,44.3490509,-72.9956168,Water,USA_Vermont,Lake Champlain
Stormwater Treatment Pond,44.3397195,-73.1176348,Water,USA_Vermont,Lake Champlain
Milton Pond,44.6351593,-73.0632337,Water,USA_Vermont,Lake Champlain
Round Pond,44.6118547,-73.2197051,Water,USA_Vermont,Lake Champlain
Lake Champlain,44.3213984,-73.2682928,Lake,USA_Vermont,Lake Champlain
Colchester Pond,44.5538393,-73.1202418,Water,USA_Vermont,Lake Champlain
Shelburne Pond,44.3872249,-73.1592018,Water,USA_Vermont,Lake Champlain
Lake Iroquois,44.3702701,-73.0840087,Lake,USA_Vermont,Lake Champlain
Half Moon Cove,44.5329261,-73.255954,Water,USA_Vermont,Lake Champlain
Barge Canal,44.4667115,-73.2179862,Water,USA_Vermont,Lake Champlain
Little Mud Pond,45.513342,-69.5114073,Water,USA_Maine,Moosehead Lake
Sawyer Pond,45.4780885,-69.5552415,Water,USA_Maine,Moosehead Lake
Little Duck Pond,45.7557664,-69.6197076,Water,USA_Maine,Moosehead Lake
Grenell Pond,45.4631575,-69.512952,Water,USA_Maine,Moosehead Lake
Shadow Pond,45.4678188,-69.6237161,Water,USA_Maine,Moosehead Lake
Big Duck Pond,45.7622124,-69.6318199,Water,USA_Maine,Moosehead Lake
Tom Young Pond,45.7620087,-69.5909856,Water,USA_Maine,Moosehead Lake
Burnham Pond,45.5412494,-69.718264,Water,USA_Maine,Moosehead Lake
Little Moose Pond,45.4582972,-69.6678749,Water,USA_Maine,Moosehead Lake
Papoose Pond,45.4609035,-69.6596583,Water,USA_Maine,Moosehead Lake
Little Spencer Pond,45.77234,-69.5736131,Water,USA_Maine,Moosehead Lake
Mountain View Pond,45.5189764,-69.6919577,Water,USA_Maine,Moosehead Lake
Round Pond,45.5825184,-69.7705221,Water,USA_Maine,Moosehead Lake
Big Wilson Stream Reservoir,45.454411,-69.5316728,Reservoir,USA_Maine,Moosehead Lake
First Roach Pond,45.6449297,-69.3897958,Reservoir,USA_Maine,Moosehead Lake
Indian Pond,45.4498229,-69.4583492,Water,USA_Maine,Moosehead Lake
Rum Pond,45.4633101,-69.4889366,Water,USA_Maine,Moosehead Lake
Mountain Brook Pond,45.5236644,-69.4003799,Water,USA_Maine,Moosehead Lake
Grassy Pond,45.5172993,-69.4077199,Water,USA_Maine,Moosehead Lake
Horseshoe Pond,45.5089709,-69.4035665,Water,USA_Maine,Moosehead Lake
Baker Pond,45.5365768,-69.4121292,Water,USA_Maine,Moosehead Lake
Lost Pond,45.5306312,-69.3979138,Water,USA_Maine,Moosehead Lake
Fogg Pond,45.5376853,-69.4692886,Water,USA_Maine,Moosehead Lake
Mountain Pond,45.5441138,-69.4634171,Water,USA_Maine,Moosehead Lake
Secret Pond,45.4479384,-69.5151292,Water,USA_Maine,Moosehead Lake
Salmon Pond,45.4421767,-69.5063433,Water,USA_Maine,Moosehead Lake
Leith Pond,45.7396038,-69.9107587,Water,USA_Maine,Moosehead Lake
Mud Pond,45.4351597,-69.5133713,Water,USA_Maine,Moosehead Lake
Frypan Pond,45.4055958,-69.7746035,Water,USA_Maine,Moosehead Lake
Little Notch Pond,45.442848,-69.7044064,Water,USA_Maine,Moosehead Lake
Big Notch Pond,45.4407619,-69.7036371,Water,USA_Maine,Moosehead Lake
Big Indian Pond,45.4376838,-69.737614,Water,USA_Maine,Moosehead Lake
Horseshoe Pond,45.4582765,-69.9329235,Water,USA_Maine,Moosehead Lake
Mud Pond,45.4464686,-69.9198383,Water,USA_Maine,Moosehead Lake
Little Indian Pond,45.418333,-69.834332,Water,USA_Maine,Moosehead Lake
Round Pond,45.4678693,-69.944744,Water,USA_Maine,Moosehead Lake
Ten Thousand Acre Pond,45.5054217,-69.9545358,Water,USA_Maine,Moosehead Lake
Upper Misery Pond,45.542173,-69.9619161,Water,USA_Maine,Moosehead Lake
Baker Pond,45.7260467,-69.8455076,Water,USA_Maine,Moosehead Lake
Jewett Pond,45.7297806,-69.4986497,Water,USA_Maine,Moosehead Lake
Demo Pond,45.649918,-69.9668948,Water,USA_Maine,Moosehead Lake
Fletcher Ponds,45.6794572,-69.9390382,Water,USA_Maine,Moosehead Lake
Roderique Pond,45.6545466,-69.9275969,Water,USA_Maine,Moosehead Lake
Long Pond,45.6438264,-69.7561566,Lake,USA_Maine,Moosehead Lake
LIttle Otter Pond,45.6073692,-69.932881,Water,USA_Maine,Moosehead Lake
Otter Pond,45.6025693,-69.9075736,Water,USA_Maine,Moosehead Lake
Misery Pond,45.5354982,-69.9437499,Lake,USA_Maine,Moosehead Lake
Little Chase Stream Pond,45.5209262,-69.9342187,Water,USA_Maine,Moosehead Lake
Mirror Pond,45.4898532,-69.7022825,Water,USA_Maine,Moosehead Lake
Scribner Bog,45.4017977,-69.8503971,Water,USA_Maine,Moosehead Lake
Trout Pond,45.4609997,-69.7436811,Water,USA_Maine,Moosehead Lake
Round Pond,45.4140628,-69.7603216,Water,USA_Maine,Moosehead Lake
Big Moose Pond,45.4545004,-69.6794704,Water,USA_Maine,Moosehead Lake
Mud Pond,45.4344342,-69.6974012,Water,USA_Maine,Moosehead Lake
Intake Pond,45.4728741,-69.6804959,Water,USA_Maine,Moosehead Lake
Upper Wilson Pond,45.5008665,-69.483841,Water,USA_Maine,Moosehead Lake
Moosehead Lake,45.6725006,-69.6715317,Lake,USA_Maine,Moosehead Lake
Prong Pond,45.5332838,-69.5220495,Water,USA_Maine,Moosehead Lake
Indian Pond,45.5113634,-69.8110183,Reservoir,USA_Maine,Moosehead Lake
Lower Wilson Pond,45.4758483,-69.5201186,Reservoir,USA_Maine,Moosehead Lake
Little Brassua Lake,45.6518376,-69.9033996,Water,USA_Maine,Moosehead Lake
Brassua Lake,45.6756845,-69.8607707,Reservoir,USA_Maine,Moosehead Lake
Island Pond,45.4700988,-69.9322543,Water,USA_Maine,Moosehead Lake
Knights Pond,45.4112196,-69.8637625,Water,USA_Maine,Moosehead Lake
Lucky Pond,45.7067445,-69.6074407,Water,USA_Maine,Moosehead Lake
Long Pond,45.6297259,-70.087429,Water,USA_Maine,Moosehead Lake
Cold Stream Pond,45.5269839,-70.0104435,Water,USA_Maine,Moosehead Lake
Mud Pond,45.5598953,-69.5247103,Water,USA_Maine,Moosehead Lake
Chase Stream Pond,45.5117647,-69.9774175,Water,USA_Maine,Moosehead Lake
Kidney Pond,45.7739223,-69.4929147,Water,USA_Maine,Moosehead Lake
Lazy Tom Stream Reservoir,45.6974316,-69.4398682,Reservoir,USA_Maine,Moosehead Lake
Spencer Pond,45.7471169,-69.56811,Reservoir,USA_Maine,Moosehead Lake
